date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:45	44335/44335	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/treeview.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/treeview.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:45	44260/44260	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:21%20GMT	https://colorlib.com//polygon/admindek/default/nestable.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/nestable.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:45	46480/46480	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/toolbar.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/toolbar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:46	40882/40882	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/session-timeout.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/session-timeout.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:46	41038/41038	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/session-idle-timeout.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/session-idle-timeout.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:46	42369/42369	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/offline.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/offline.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:46	47657/47657	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:38%20GMT	https://colorlib.com//polygon/admindek/default/animation.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/animation.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:47	124754/124754	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:13%20GMT	https://colorlib.com//polygon/admindek/default/icon-font-awesome.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/icon-font-awesome.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:47	83503/83503	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:14%20GMT	https://colorlib.com//polygon/admindek/default/icon-themify.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/icon-themify.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:47	63318/63318	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:13%20GMT	https://colorlib.com//polygon/admindek/default/icon-simple-line.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/icon-simple-line.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:47	54308/54308	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:08%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-component.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/form-elements-component.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:48	55655/55655	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:05%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-add-on.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/form-elements-add-on.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:48	57057/57057	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:05%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-advance.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/form-elements-advance.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:48	47043/47043	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:08%20GMT	https://colorlib.com//polygon/admindek/default/form-validation.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/form-validation.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:48	52635/52635	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:07%20GMT	https://colorlib.com//polygon/admindek/default/form-picker.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/form-picker.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:48	55564/55564	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:07%20GMT	https://colorlib.com//polygon/admindek/default/form-select.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/form-select.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:49	47148/47148	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:06%20GMT	https://colorlib.com//polygon/admindek/default/form-masking.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/form-masking.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:49	59103/59103	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:09%20GMT	https://colorlib.com//polygon/admindek/default/form-wizard.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/form-wizard.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:49	53643/53643	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:41%20GMT	https://colorlib.com//polygon/admindek/default/bs-basic-table.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/bs-basic-table.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:49	44096/44096	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:41%20GMT	https://colorlib.com//polygon/admindek/default/bs-table-sizing.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/bs-table-sizing.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:50	45739/45739	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:41%20GMT	https://colorlib.com//polygon/admindek/default/bs-table-border.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/bs-table-border.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:50	43842/43842	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:43%20GMT	https://colorlib.com//polygon/admindek/default/bs-table-styling.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/bs-table-styling.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:50	73289/73289	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:53%20GMT	https://colorlib.com//polygon/admindek/default/dt-basic.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-basic.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:50	76958/76958	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:49%20GMT	https://colorlib.com//polygon/admindek/default/dt-advance.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-advance.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:50	74561/74561	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:00%20GMT	https://colorlib.com//polygon/admindek/default/dt-styling.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-styling.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:51	134028/134028	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:50%20GMT	https://colorlib.com//polygon/admindek/default/dt-api.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-api.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:51	46358/46358	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:49%20GMT	https://colorlib.com//polygon/admindek/default/dt-ajax.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-ajax.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:51	44532/44532	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:59%20GMT	https://colorlib.com//polygon/admindek/default/dt-server-side.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-server-side.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:52	103622/103622	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:59%20GMT	https://colorlib.com//polygon/admindek/default/dt-plugin.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-plugin.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:52	47799/47799	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:51%20GMT	https://colorlib.com//polygon/admindek/default/dt-data-sources.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-data-sources.html	(from https://colorlib.com//polygon/admindek/default/index.html)
15:48:52	74366/74366	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:52%20GMT	https://colorlib.com//polygon/admindek/default/dt-ext-autofill.html	C:/Users/laoui/Desktop/bike/bikk/colorlib.com/polygon/admindek/default/dt-ext-autofill.html	(from https://colorlib.com//polygon/admindek/default/index.html)
